server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:52:00,20:52:30,56.47,42.78,
server_1,20:52:10,20:52:40,57.9,24.99,
server_1,20:52:20,20:52:50,58.62,27.26,
server_1,20:52:30,20:53:00,54.02,27.77,
server_1,20:52:40,20:53:10,59.98,35.18,
server_1,20:52:50,20:53:20,48.97,31.94,
server_1,20:53:00,20:53:30,48.6,35.19,
server_1,20:53:10,20:53:40,36.47,46.61,
server_1,20:53:20,20:53:50,42.16,53.89,
server_1,20:53:30,20:54:00,45.26,65.85,
server_1,20:53:40,20:54:10,39.32,63.09,
server_1,20:53:50,20:54:20,32.02,64.45,
server_1,20:54:00,20:54:30,47.57,45.71,
server_1,20:54:10,20:54:40,55.78,52.44,
server_1,20:54:20,20:54:50,71.15,48.8,
server_1,20:54:30,20:55:00,55.59,58.8,
server_1,20:54:40,20:55:10,55.34,50.61,
server_1,20:54:50,20:55:20,50.13,52.67,
server_1,20:55:00,20:55:30,50.28,53.33,
server_1,20:55:10,20:55:40,57.61,54.32,
server_1,20:55:20,20:55:50,57.58,64.9,
server_1,20:55:30,20:56:00,64.13,58.79,
server_1,20:55:40,20:56:10,66.89,62.51,
server_1,20:55:50,20:56:20,66.39,51.5,
server_1,20:56:00,20:56:30,66.74,50.08,
server_1,20:56:10,20:56:40,57.92,47.18,
server_1,20:56:20,20:56:50,55.66,48.54,
server_1,20:56:30,20:57:00,48.2,54.9,
server_1,20:56:40,20:57:10,44.21,47.65,
server_1,20:56:50,20:57:20,36.87,51.23,
server_1,20:57:00,20:57:30,37.39,54.29,
server_1,20:57:10,20:57:40,39.24,52.98,
server_1,20:57:20,20:57:50,46.45,44.34,
server_1,20:57:30,20:58:00,46.75,37.85,
server_1,20:57:40,20:58:10,44.58,35.38,
server_1,20:57:50,20:58:20,49.43,39.97,
server_1,20:58:00,20:58:30,57.62,40.71,
server_1,20:58:10,20:58:40,59.19,40.91,
server_1,20:58:20,20:58:50,61.35,38.11,
server_1,20:58:30,20:59:00,49.81,38.03,
server_1,20:58:40,20:59:10,57.85,38.66,
server_1,20:58:50,20:59:20,49.92,49.4,
server_1,20:59:00,20:59:30,50.7,57.48,
server_1,20:59:10,20:59:40,49.56,67.81,
server_1,20:59:20,20:59:50,53.24,65.55,
